单位id,用户id（uid）,在线时长（秒）
1727,155626628,1359
1727,66011376,347143
1727,191961336,77632
1727,191963882,432887
1727,53011933,180
1727,191963303,63793
1727,103127973,40880
1727,66010761,2596
1727,73964468,180
1727,103130401,27542
1727,103127491,298520
1727,205579054,55016
1727,191961121,36565
1727,103131609,29953
1727,129986578,18435
1727,103130349,56171
1727,66006716,6475
1727,103131372,40140
1727,176688731,1671
1727,150090015,13409
1727,103127531,28248
1727,54684006,12671
1727,234990164,15135
1727,239250817,180
1727,24254134,276
1727,91694542,15785
1727,234987435,24095
1727,147026161,180307
1727,147026171,291111
1727,66007471,7542
1727,53086478,3426
1727,84535260,24771
1727,91704063,62382
1727,103131433,243680
1727,84535605,10493
1727,191962133,257442
1727,147027234,151457
1727,103130026,137654
1727,82832307,51394
1727,103127953,58122
1727,191964210,126804
1727,147023503,163707
1727,79165284,23002
1727,66016546,180
1727,239252034,180
1727,53955844,180
1727,191961056,352083
1727,234989536,180
1727,78784871,1080
1727,191962614,347666
1727,103128812,212164
1727,234989382,4905
1727,121791920,442
1727,191963324,14716
1727,234989390,16514
1727,135758039,48340
1727,147023404,327249
1727,191962174,226709
1727,188926792,4134
1727,82691602,23685
1727,191964204,440471
1727,66020949,180
1727,129657386,83745
1727,103129473,44291
1727,147026952,267392
1727,176486884,984
1727,239251609,180
1727,103130488,24961
1727,103131077,48774
1727,234986689,515
1727,53658801,7800
1727,103129357,68789
1727,103132246,95948
1727,197396050,183
1727,84536211,119677
1727,103127412,68394
1727,188927074,32437
1727,103131995,40286
1727,66015371,37710
1727,83850539,180
1727,147023160,235059
1727,147024577,166966
1727,147021591,87873
1727,84250833,26297
1727,70991068,63542
1727,191961826,362040
1727,82128798,20520
1727,188924266,180
1727,147024230,259015
1727,147024363,56143
1727,147025503,41880
1727,82680965,16283
1727,103129700,21098
1727,239247385,616
1727,191962997,52127
1727,82300217,28527
1727,147021783,437475
1727,103129570,291568
1727,234985526,345
1727,147027347,54972
1727,176870048,180
1727,188922736,6326
1727,82190397,19957
1727,239247189,3641
1727,191964291,275131
1727,82834724,48797
1727,59523748,180
1727,82299989,250688
1727,82129189,27316
1727,84536071,168101
1727,85767087,55780
1727,66011192,43468
1727,147114148,1942
1727,191963275,124268
1727,147024076,81558
1727,191960862,319836
1727,191959977,128932
1727,191963413,187892
1727,155625960,382
1727,188923288,11243
1727,66022337,393035
1727,239247861,621
1727,103129670,31462
1727,103130815,11925
1727,103127480,254948
1727,82832110,41008
1727,234990143,12341
1727,82128816,40257
1727,147027715,234173
1727,191963336,50074
1727,82423229,27918
1727,79753413,180
1727,84534321,23017
1727,39046344,1440
1727,94284919,45658
1727,121379370,216351
1727,84534236,62749
1727,84532578,22956
1727,221169503,360
1727,147023389,42799
1727,95735879,14716
1727,176692713,905
1727,103132088,222180
1727,66021085,107316
1727,191961692,318530
1727,176486804,360
1727,191963385,66156
1727,147022248,287476
1727,239251955,724
1727,57158207,3495
1727,103128619,124218
1727,84533403,207004
1727,188927011,34999
1727,239248125,180
1727,226738885,466
1727,147026772,80005
1727,239249854,1225
1727,84536024,29484
1727,84534192,22431
1727,232849356,7437
1727,84533315,26303
1727,147026759,39203
1727,234987063,28805
1727,147113685,629
1727,66011725,820
1727,147113963,1078
1727,123206900,45916
1727,191963772,88944
1727,61489633,249
1727,82018779,19498
1727,63032834,1779
1727,66020686,257848
1727,176074584,1867
1727,234990057,180
1727,103127410,93084
1727,147022310,101106
1727,82248433,78175
1727,66011809,1067
1727,120660534,133755
1727,108692268,1104
1727,37433907,19157
1727,66020267,5657
1727,66003792,1605239
1727,188924324,698
1727,103131116,116204
1727,66012322,360
1727,103129421,6844
1727,234985797,80300
1727,82300594,48083
1727,191960446,256708
1727,155627066,1782
1727,147024592,16459
1727,191963764,172645
1727,69633213,180
1727,147027015,31230
1727,103130784,16491
1727,84535888,70457
1727,191961457,31906
1727,77830040,15578
1727,188926958,37763
1727,147023241,110071
1727,66011413,17046
1727,77607783,122606
1727,191963267,53884
1727,147025688,61337
1727,66011573,251411
1727,128125409,1351
1727,103129944,38247
1727,147115420,540
1727,147027565,34593
1727,82832815,50341
1727,191962367,101084
1727,103130086,88196
1727,103130151,632
1727,147022585,162905
1727,239248490,180
1727,103129349,284601
1727,83618808,25586
1727,103130952,74845
1727,103131592,168902
1727,103127856,26679
1727,82300363,21310
1727,112235011,1278
1727,234988858,180
1727,176692310,6094
1727,103131437,24102
1727,84534708,4951
1727,147022611,74109
1727,103129126,16962
1727,103127844,25452
1727,147023130,62893
1727,226738767,694
1727,84536066,18998
1727,239249164,180
1727,103128946,467866
1727,191963780,77235
1727,82191948,80393
1727,188926202,602
1727,147082765,2444
1727,191961894,248192
1727,191962422,68395
1727,66012040,6564
1727,79245934,23353
1727,151147548,208
1727,76121499,5062
1727,227676288,360
1727,176504494,1805
1727,82832694,61300
1727,191964275,96572
1727,66011206,108799
1727,103131601,262728
